SMILES,MLM
CCCCCC(C)NCc1coc(-c2ccc(OCC(C)C)cc2)n1,9000
CCCCCC(C)NCc1coc(-c2ccc(OC(C)CC)cc2)n1,3000
N=C(NC1CCCCC1)c1ccccc1-c1ccccc1,2000
CCCCCC(C)NCc1coc(-c2ccc(OC(C)C)cc2)n1,24000
CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,13000
CCCCCC(C)NCc1coc(-c2ccc(C3CCCCC3)cc2)n1,4000
CC1CC(NCc2coc(-c3ccc(OC(C)C)cc3)n2)CC(C)(C)C1,26000
O=C(NC1CCCCC1)c1ccccc1-c1ccccc1,116000
CCc1cccc(N/C(=N/O)c2ccc(OC)cc2)c1,470000
CCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,22000
Cc1ccc(/C(=N/O)Nc2cccc(F)c2)c(Oc2ccc(C(C)(C)C)cc2)n1,31750
CCc1ccc(Oc2ncccc2/C(=N\O)NC2CCCC[C@@H]2N)cc1,7000
CCCCCC(C)NCc1coc(-c2ccccc2Oc2ccccc2)n1,220000
CCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,86000
c1cc(-c2nc(CNC3CCCCCC3)co2)ccc1OC1CCCCC1,11000
CCCCCC(C)NCc1coc(-c2ccc(-c3ccccc3)cc2)n1,39000
CC(C)Oc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,11000
c1ccc(-c2ccc(-c3nc(CNC4CCCCCC4)co3)cc2)cc1,4000
CCCCc1ccc(-c2nc(CN3CCOCC3)co2)cc1,348000
C[C@@H]1[C@H]2C[C@@H](C[C@H]1NCc1coc(-c3ccc(-c4ccccc4)cc3)n1)C2(C)C,27000
COc1ccc(/C(=N/O)Nc2ccc(F)cc2)cc1,118000
CCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,30000
Cc1cccc(C)c1/C(=N/O)NC1CCCCC1,76000
CCC(C)C(NCc1ccccc1OC)c1nc(-c2ccccc2)c(N2CCCCC2)o1,227000
CCC(C)C(NCc1ccccc1OC)c1nc(-c2ccccc2)c(N2CCOCC2)o1,440000
CCCCc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,8000
CCCCCC(C)NCc1coc(-c2ccc(CCCC)cc2)n1,11000
CCCCc1ccc(-c2nc(CNCCCN(C)C)co2)cc1,9000
CCCCc1ccc(-c2nc(CNCCN3CCCC3)co2)cc1,33000
CCCCc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,60000
CCCCCC(C)NCc1coc(-c2ccc(C(C)(C)C)cc2)n1,17000
CC(C)(C)CNCc1coc(-c2ccc(OCC(C)(C)C)cc2)n1,3000
COc1ccc(CNC(CC(C)C)c2nc(Cc3ccccc3)c(N3CCOCC3)o2)cc1,463000
COc1ccccc1CNC(CCc1ccccc1)c1nc(Cc2ccccc2)c(N2CCCCC2)o1,471000
CCCCc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,95000
CCCCc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,53000
CC1CC(NCc2coc(-c3ccc(-c4ccccc4)cc3)n2)CC(C)(C)C1,6000
COc1ccc(/C(=N/O)Nc2cccc(-c3ccccc3)c2)cc1,66000
O/N=C(\NC1CCCCC1)c1ccccc1-c1ccccc1,119000
COc1ccccc1CNC(c1nc(-c2ccccc2)c(N2CCOCC2)o1)C1CC1,300000
CCCCc1ccc(-c2nc(CNC(C)CC)co2)cc1,42000
C[C@@H]1[C@H]2C[C@@H](C[C@H]1NCc1coc(-c3ccc(-c4ccccc4)cc3)n1)C2(C)C,5000
COc1ccc(/C(=N/O)Nc2cccc(F)c2)cc1,143330
CCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,3000
CCCCc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,47000
COC/C(=N/O)c1ccc(OC)cc1,19000
CCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,32000
Cc1ccc(CNC(c2nc(Cc3ccccc3)c(N3CCOCC3)o2)C2CCCCC2)cc1,236000
CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,8000
CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,60000
CCc1ccccc1N/C(=N\O)c1ccc(OC)cc1,397000
CCc1ccccc1N/C(=N\O)c1ccccc1-c1ccccc1,209000
CCCCc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,42000
CCCCc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,3000
O/N=C(\Nc1ccccc1)c1ccccc1-c1ccccc1,352000
COc1ccc(/C(=N\O)Nc2ccccc2)cc1,121000
CCOc1ccc(-c2nc(CNC3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,207000
O/N=C(/NC1CCCCC1)c1cccnc1Oc1ccccc1,423000
COc1ccc(/C(CNC2CCCCC2)=N/O)cc1,224000
CC(C)(C)c1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,14000
CCCCc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,17000
CC(C)(C)c1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,38000
O/N=C(\NC1CCCCC1)c1cc(F)cc(F)c1,35000
CC(C)(C)c1ccc(Oc2ncccc2/C(=N/O)NC2CCCCC2)cc1,95000
Nc1ccccc1NC(=O)/C=C/c1ccc([C@H]2CN(C3COC3)C[C@@H]2C(=O)Nc2ccc(Cl)cc2)cc1,42
CN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cn2)C1,36
N#CCN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,51
CN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,35
Nc1ccccc1NC(=O)/C=C/c1ccc(C(C(=O)Nc2ccc(Br)cc2)N2CC[C@H](O)C2)cc1,52
CN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2cnc(/C=C/C(=O)Nc3ccccc3N)cn2)C1,25
CN1C[C@H](C(=O)Nc2ccc(Cl)cc2F)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,43
CN1C[C@H](C(=O)Nc2ccccc2F)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,67
CN1C[C@H](C(=O)Nc2ccc(C3CC3)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,60
CN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,28
CC(C)(O)CN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,34
Cc1ccc(NC(=O)[C@H]2CN(C)C[C@@H]2c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1,62
CC(C)(C)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,20
CC(C)(CO)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,40
CN1C[C@H](C(=O)NC2CCCC2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,61
Cc1cccc(NC(=O)[C@H]2CN(C)C[C@@H]2c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)c1,74
CN1C[C@H](C(=O)Nc2cccc(F)c2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,56
