SMILES,HLM
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,74.44893393
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,37.02162348
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,35.87944034
CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-],22.24437909
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,17.56616817
O=C1c2c(O)cccc2Cc2cccc(O)c21,35.39558081
Cc1cc(=O)n(-c2ccccc2)n1C,44.93412854
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,63.64278303
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,16.92328915
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,54.0717617
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,31.32789928
Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,-1.040412534
CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,47.38631601
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,15.7524436
C=CCC(C(=O)NC(N)=O)C(C)C,5.332065199
Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,-13.58135388
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,3.702169884
COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,-3.481996622
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,10.63567809
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,52.04978606
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,126.5159123
NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1,2.615568579
O=[As]O[As]=O,8.07199281
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,14.16231776
CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,9.786136736
C[C@@H]1CC[C@H]2[C@@H](C)C(O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,-9.126917017
C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,-1.792351744
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,75.83780066
COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,32.5162913
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,8.695712797
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,-16.3749435
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,6.347780488
NC(=O)C[C@H](N)C(=O)O,-24.89153522
N[C@@H](CC(=O)O)C(=O)O,-23.01053585
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,61.24234293
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,61.93163622
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,42.19591401
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,106.6861194
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-27.92201773
C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,34.01524784
